repo,license,commits,pr_ratio,issue_ref_ratio,stars,score,default_branch,size_kb,sampled_commits,pr_gate_pass,selection_status,exclude_reason
apache/superset,Apache-2.0,22812,1.000,0.700,74698,0.8699,master,1132342,30,true,CANDIDATE,
django/django,BSD-3-Clause,34925,0.933,0.733,90349,0.8683,main,282843,30,true,CANDIDATE,
scikit-learn/scikit-learn,BSD-3-Clause,33980,1.000,0.567,67217,0.8503,main,187029,30,true,CANDIDATE,
pydantic/pydantic,MIT,5733,1.000,0.833,28751,0.8393,main,446392,30,true,CANDIDATE,
vllm-project/vllm,Apache-2.0,21078,1.000,0.600,91367,0.8358,main,277831,30,true,CANDIDATE,
pandas-dev/pandas,BSD-3-Clause,38882,1.000,0.367,49709,0.7971,main,410235,30,true,CANDIDATE,
unslothai/unsloth,Apache-2.0,8370,0.933,0.733,75952,0.7953,main,337293,30,true,CANDIDATE,
bytedance/deer-flow,MIT,3189,1.000,0.767,82140,0.7893,main,62007,30,true,CANDIDATE,
huggingface/transformers,Apache-2.0,23928,1.000,0.400,165046,0.7823,main,513116,30,true,CANDIDATE,
NousResearch/hermes-agent,MIT,33285,0.833,0.600,243856,0.7759,main,920311,30,true,CANDIDATE,
home-assistant/core,Apache-2.0,116612,1.000,0.233,90351,0.7700,dev,879950,30,true,CANDIDATE,
keras-team/keras,Apache-2.0,12701,1.000,0.400,64316,0.7499,master,55961,30,true,CANDIDATE,
langchain-ai/langchain,MIT,16744,1.000,0.333,146023,0.7441,master,596004,30,true,CANDIDATE,
TheAlgorithms/Python,MIT,3810,1.000,0.567,224420,0.7384,master,17199,30,true,CANDIDATE,
crewAIInc/crewAI,MIT,2850,1.000,0.600,58297,0.7335,main,295822,30,true,CANDIDATE,
psf/requests,Apache-2.0,6494,1.000,0.433,54290,0.7256,main,13629,30,true,CANDIDATE,
unclecode/crawl4ai,Apache-2.0,1651,1.000,0.667,82051,0.7256,main,151101,30,true,CANDIDATE,
mvanhorn/last30days-skill,MIT,1222,1.000,0.700,61667,0.7202,main,50884,30,true,CANDIDATE,
docling-project/docling,MIT,1415,1.000,0.667,66219,0.7177,main,348439,30,true,CANDIDATE,
github/spec-kit,MIT,1949,1.000,0.533,134427,0.6941,main,17685,30,true,CANDIDATE,
mem0ai/mem0,Apache-2.0,2624,1.000,0.467,65009,0.6893,main,63967,30,true,CANDIDATE,
commaai/openpilot,MIT,17698,0.967,0.133,63617,0.6702,master,4922144,30,true,CANDIDATE,
browser-use/browser-use,MIT,10279,1.000,0.167,113957,0.6691,main,36430,30,true,CANDIDATE,
scrapy/scrapy,BSD-3-Clause,11452,0.967,0.167,64267,0.6580,master,32442,30,true,CANDIDATE,
fastapi/fastapi,MIT,7713,1.000,0.133,102211,0.6444,master,55416,30,true,CANDIDATE,
headroomlabs-ai/headroom,Apache-2.0,2748,0.900,0.467,71085,0.6417,main,78245,30,true,CANDIDATE,
langflow-ai/langflow,MIT,19030,0.800,0.267,154517,0.6306,main,1534588,30,true,CANDIDATE,
sherlock-project/sherlock,MIT,2931,0.967,0.267,91190,0.6183,master,19077,30,true,CANDIDATE,
3b1b/manim,MIT,6478,0.867,0.267,93644,0.6089,master,77331,30,true,CANDIDATE,
MemPalace/mempalace,MIT,1959,1.000,0.233,58969,0.6044,develop,26745,30,true,CANDIDATE,
D4Vinci/Scrapling,BSD-3-Clause,1617,0.733,0.667,79679,0.5912,main,10520,30,true,CANDIDATE,
hiyouga/LlamaFactory,Apache-2.0,3102,1.000,0.100,74675,0.5879,main,13985,30,true,CANDIDATE,
PaddlePaddle/PaddleOCR,Apache-2.0,6925,0.900,0.100,89210,0.5789,main,1964014,30,true,CANDIDATE,
Shubhamsaboo/awesome-llm-apps,Apache-2.0,1218,0.933,0.267,136857,0.5567,main,219549,30,true,CANDIDATE,
public-apis/public-apis,MIT,5310,0.933,0.000,478123,0.5520,master,8778,30,true,CANDIDATE,
encode/httpx,BSD-3-Clause,1523,1.000,0.000,15470,0.5215,master,8594,6,true,CANDIDATE,
RVC-Boss/GPT-SoVITS,MIT,1050,0.700,0.267,61662,0.4325,main,14573,30,true,CANDIDATE,
FoundationAgents/MetaGPT,MIT,6367,0.500,0.000,70287,0.3446,main,184037,2,false,CANDIDATE,
swisskyrepo/PayloadsAllTheThings,MIT,2202,0.533,0.000,80760,0.3070,master,23345,30,false,CANDIDATE,
sqlalchemy/sqlalchemy,MIT,18301,0.033,0.333,12150,0.2653,main,102455,30,false,CANDIDATE,
pallets/flask,BSD-3-Clause,5557,0.267,0.100,73554,0.2510,main,12311,30,false,CANDIDATE,
Graphify-Labs/graphify,Apache-2.0,1683,0.000,0.333,116391,0.1266,v8,11843,30,false,CANDIDATE,
abi/screenshot-to-code,MIT,1455,0.000,0.000,78405,0.0192,main,11142,30,false,CANDIDATE,
1c7/chinese-independent-developer,,,,,61352,,master,6358,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:none
521xueweihan/HelloGitHub,,,,,175696,,master,9332,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:none
666ghj/MiroFish,AGPL-3.0,,,,72075,,main,16732,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:AGPL-3.0
