repo,license,commits,pr_ratio,issue_ref_ratio,stars,score,default_branch,size_kb,sampled_commits,pr_gate_pass,selection_status,exclude_reason,license_manual,first_commit_date,first_commit_year,recent_only,mining_since_year,window_commits,history_pr_ratio,window_pr_ratio,history_sampled,window_sampled,pr_by_year,score_v2
vllm-project/vllm,Apache-2.0,21078,1.000,0.767,91825,0.8858,main,291412,30,true,CANDIDATE,,,2023-08-31,2023,false,2023,21078,1.000,1.000,20,20,2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.8858
apache/superset,Apache-2.0,22812,1.000,0.700,74766,0.8699,master,1138612,30,true,CANDIDATE,,,2015-09-18,2015,false,2015,22812,0.933,0.933,60,60,2015:1/5|2016:5/5|2017:5/5|2018:5/5|2019:5/5|2020:5/5|2021:5/5|2022:5/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.8365
home-assistant/core,Apache-2.0,116612,1.000,0.367,90515,0.8100,dev,896875,30,true,CANDIDATE,,,2014-10-22,2014,true,2015,116400,0.923,1.000,65,60,2014:0/5|2015:5/5|2016:5/5|2017:5/5|2018:5/5|2019:5/5|2020:5/5|2021:5/5|2022:5/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.8100
django/django,BSD-3-Clause,34925,0.933,0.733,91064,0.8683,main,282769,30,true,CANDIDATE,,,2005-07-13,2005,true,2015,15367,0.500,0.867,110,60,2005:0/5|2006:0/5|2007:0/5|2008:0/5|2009:0/5|2010:0/5|2011:0/5|2012:0/5|2013:1/5|2014:2/5|2015:1/5|2016:4/5|2017:5/5|2018:5/5|2019:5/5|2020:5/5|2021:5/5|2022:4/5|2023:4/5|2024:4/5|2025:5/5|2026:5/5,0.7930
huggingface/transformers,Apache-2.0,23928,1.000,0.433,166166,0.7923,main,515163,30,true,CANDIDATE,,,2018-11-02,2018,false,2018,23928,0.978,0.978,45,45,2018:5/5|2019:5/5|2020:4/5|2021:5/5|2022:5/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.7812
pydantic/pydantic,MIT,5733,1.000,0.833,28751,0.8393,main,446392,30,true,CANDIDATE,,,2017-05-05,2017,false,2017,5733,0.860,0.860,50,50,2017:4/5|2018:4/5|2019:5/5|2020:5/5|2021:4/5|2022:1/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.7693
langchain-ai/langchain,MIT,16744,1.000,0.300,146371,0.7341,master,596449,30,true,CANDIDATE,,,2022-10-27,2022,false,2022,16744,1.000,1.000,25,25,2022:5/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.7341
scikit-learn/scikit-learn,BSD-3-Clause,33980,1.000,0.333,67260,0.7803,main,187590,30,true,CANDIDATE,,,2010-01-05,2010,true,2015,16028,0.824,0.983,85,60,2010:2/5|2011:2/5|2012:0/5|2013:2/5|2014:5/5|2015:5/5|2016:5/5|2017:4/5|2018:5/5|2019:5/5|2020:5/5|2021:5/5|2022:5/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.7335
pandas-dev/pandas,BSD-3-Clause,38882,1.000,0.233,49709,0.7571,main,410235,30,true,CANDIDATE,,,2010-01-10,2010,true,2015,27868,0.765,0.933,85,60,2010:0/5|2011:1/5|2012:0/5|2013:5/5|2014:3/5|2015:4/5|2016:2/5|2017:5/5|2018:5/5|2019:5/5|2020:5/5|2021:5/5|2022:5/5|2023:5/5|2024:5/5|2025:5/5|2026:5/5,0.7068
docling-project/docling,MIT,1415,1.000,0.600,66444,0.6977,main,380082,30,true,CANDIDATE,,,2024-07-17,2024,false,2024,1415,1.000,1.000,15,15,2024:5/5|2025:5/5|2026:5/5,0.6977
mem0ai/mem0,Apache-2.0,2624,1.000,0.433,65336,0.6793,main,64707,30,true,CANDIDATE,,,2023-06-20,2023,false,2023,2624,0.950,0.950,20,20,2023:5/5|2024:4/5|2025:5/5|2026:5/5,0.6543
keras-team/keras,Apache-2.0,12701,1.000,0.567,64320,0.7999,master,56138,30,true,CANDIDATE,,,2015-03-30,2015,false,2015,12701,0.683,0.683,60,60,2015:2/5|2016:3/5|2017:4/5|2018:4/5|2019:5/5|2020:3/5|2021:1/5|2022:0/5|2023:4/5|2024:5/5|2025:5/5|2026:5/5,0.6416
